generation,average,max,std
0,5.234187691362068,5.234187691362068,0.0
1,15.518323120178959,15.51832312017896,1.7763568394002505e-15
2,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
3,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
4,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
5,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
6,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
7,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
8,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
9,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
10,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
11,0.726078799249531,0.7260787992495309,1.1102230246251565e-16
12,20.81113465792765,20.811134657927653,3.552713678800501e-15
13,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
14,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
15,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
16,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
17,1.143198206673221e-14,1.143198206673221e-14,0.0
18,4.396916179512388e-16,4.396916179512388e-16,0.0
19,4.396916179512388e-16,4.396916179512388e-16,0.0
20,4.396916179512388e-16,4.396916179512388e-16,0.0
21,4.396916179512388e-16,4.396916179512388e-16,0.0
22,3.810660688910736e-15,3.810660688910736e-15,0.0
23,1.8605769230769227,1.860576923076923,2.220446049250313e-16
24,24.53283392157162,24.532833921571616,3.552713678800501e-15
25,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
26,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
27,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
28,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
29,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
30,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
31,72305823390.2305,72305823390.2305,0.0
32,0.624001895899839,0.624001895899839,0.0
33,5.060371702862876,5.060371702862876,0.0
34,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
35,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
36,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
37,8.364864926877223e-16,8.364864926877224e-16,9.860761315262648e-32
