generation,evaluation,best,average,median,std
0,50,-0.7658963585434173,-0.7593271708683474,-0.7591876750700279,0.003911065326040774
1,51,-0.7658963585434173,-0.7594230241116052,-0.7591876750700279,0.003931398498982292
2,52,-0.7658963585434173,-0.7593546649428998,-0.7591876750700279,0.003923899488677769
3,53,-0.7659103641456582,-0.7594783573806879,-0.7591876750700279,0.003987739786078339
4,54,-0.7659103641456582,-0.7595043572984745,-0.7591876750700279,0.003955175548950241
5,55,-0.7659103641456582,-0.759620575502928,-0.7591876750700279,0.0040110283166891955
6,56,-0.7659103641456582,-0.7596130952380952,-0.7591876750700279,0.0039754413234018605
7,57,-0.7659103641456582,-0.7596353629170965,-0.7591876750700279,0.003943936584885609
8,58,-0.7659103641456582,-0.7596858398531826,-0.7591946778711485,0.003928318203933236
9,59,-0.7659103641456582,-0.7597346057066895,-0.7592016806722689,0.003912551627507599
10,60,-0.7675770308123249,-0.7598653127917833,-0.7592016806722689,0.004007605530007299
11,61,-0.7675770308123249,-0.7599366303898606,-0.7592016806722689,0.004012827007869676
12,62,-0.7675770308123249,-0.7600060992138787,-0.7592016806722689,0.004017143175885654
13,63,-0.7675770308123249,-0.7601260504201678,-0.7592016806722689,0.004095529704771705
14,64,-0.7675770308123249,-0.7601639093137254,-0.7600280112044817,0.004074503330928623
15,65,-0.7675770308123249,-0.7602262443438913,-0.7608543417366946,0.0040736777601889365
16,66,-0.7675770308123249,-0.7602610134963075,-0.7608543417366946,0.0040524056401779855
17,67,-0.7675770308123249,-0.7603198294243069,-0.7608543417366946,0.004050333542526398
18,68,-0.7675770308123249,-0.7604018372054702,-0.7608543417366946,0.004076094005474266
19,69,-0.7675770308123249,-0.7603844436325253,-0.7608543417366946,0.004048990534265572
20,70,-0.7675770308123249,-0.760486994797919,-0.7608543417366946,0.004109230448414699
21,71,-0.7675770308123249,-0.7605633802816899,-0.7608543417366946,0.004129936925929697
22,72,-0.7675770308123249,-0.7606144957983193,-0.7608543417366946,0.004123711117194084
23,73,-0.7675770308123249,-0.7606409961244772,-0.7608543417366946,0.004101537700415303
24,74,-0.7675770308123249,-0.7606664016958133,-0.7608543417366946,0.004079509316448782
25,75,-0.7675770308123249,-0.7607361344537814,-0.7608543417366948,0.00409638063461588
26,76,-0.7675770308123249,-0.7606501547987614,-0.7608543417366946,0.004136904399673756
27,77,-0.7675770308123249,-0.7607399323365709,-0.7608543417366948,0.004183811544007092
28,78,-0.7675770308123249,-0.7607629462041224,-0.7608613445378152,0.004161808181025524
29,79,-0.7675770308123249,-0.7607430060631846,-0.7608543417366948,0.004139131811673595
30,80,-0.7675770308123249,-0.7607445728291315,-0.7608613445378152,0.004113204459805674
31,81,-0.7675770308123249,-0.7607253518691427,-0.7608543417366948,0.004091349018093144
32,82,-0.7675770308123249,-0.7608087381293981,-0.7608613445378152,0.0041349988771117435
33,83,-0.7675770308123249,-0.7608700347608922,-0.7608683473389355,0.004147325623992281
34,84,-0.7675770308123249,-0.7608900226757369,-0.7608683473389355,0.004126585044270652
35,85,-0.7675770308123249,-0.7609489207447683,-0.7608683473389355,0.0041376032875293225
36,86,-0.7675770308123249,-0.7609870692463031,-0.760875350140056,0.004128485820661451
37,87,-0.7675770308123249,-0.7609663865546218,-0.7608683473389355,0.0041091691525722675
38,88,-0.7675770308123249,-0.7609086134453782,-0.7608683473389355,0.004121137675531884
39,89,-0.7675770308123249,-0.7608892770591382,-0.7608683473389355,0.004101932426682543
40,90,-0.7675770308123249,-0.7609263927793339,-0.7608683473389355,0.004094081102430708
41,91,-0.7675770308123249,-0.7609623849539817,-0.7608683473389355,0.004085816572242396
42,92,-0.7675770308123249,-0.7609430946291561,-0.7608683473389355,0.0040677148711117175
43,93,-0.7675770308123249,-0.7609963555314601,-0.7608683473389355,0.004077911917161569
44,94,-0.7675770308123249,-0.7610481852315396,-0.760875350140056,0.004086842915474562
45,95,-0.7675770308123249,-0.7610816747751734,-0.7608823529411765,0.004078222302102488
46,96,-0.7675770308123249,-0.7610969596171803,-0.7608823529411765,0.004059660419827069
47,97,-0.7675770308123249,-0.7610772762713331,-0.7608823529411765,0.004043282181986878
48,98,-0.7675770308123249,-0.7610922940604814,-0.7608823529411765,0.004025318613356287
49,99,-0.7675770308123249,-0.7611576549811845,-0.7608823529411765,0.004056868527496875
49,100,-0.7675770308123249,-0.7611715686274512,-0.761701680672269,0.004038906509513615
